time h A h_sea a Q_f W_Dir W_Vel
0 0.32 232304000 0.760 1.000 65.663 120 8.0
0.04 0.32 232304000 0.710 1.000 65.663 120 7.0
0.08 0.31 233127000 0.560 1.000 65.663 120 7.0
0.12 0.31 233127000 0.350 1.000 65.663 120 7.0
0.16 0.30 233950000 0.090 9.000 65.663 120 7.0
0.2 0.30 233950000 -0.170 9.000 65.663 120 7.0
0.24 0.29 235232000 -0.300 9.000 65.663 120 7.0
0.28 0.29 235232000 -0.260 9.000 65.663 120 8.0
0.32 0.29 235232000 -0.120 9.000 65.663 120 8.0
0.36 0.28 236514000 -0.090 9.000 65.663 130 8.0
0.4 0.28 236514000 0.120 9.000 65.663 130 8.0
0.44 0.28 236514000 0.310 9.000 65.663 110 9.0
0.48 0.29 235232000 0.590 1.000 66.074 130 7.0
0.52 0.28 236514000 0.630 1.000 66.485 120 7.0
0.56 0.28 236514000 0.570 1.000 66.896 120 7.0
0.6 0.28 236514000 0.420 1.000 67.307 130 8.0
0.64 0.26 239078000 0.260 9.000 67.718 120 10.0
0.68 0.28 236514000 0.010 9.000 68.129 120 10.0
0.72 0.29 235232000 -0.190 9.000 68.539 120 11.0
0.76 0.28 236514000 -0.090 9.000 68.950 130 11.0
0.8 0.29 235232000 0.050 9.000 69.361 130 11.0
0.84 0.28 236514000 0.050 9.000 69.772 140 10.0
0.88 0.26 239078000 0.180 9.000 70.183 140 9.0
0.92 0.29 235232000 0.390 9.000 70.594 140 9.0
0.96 0.28 236514000 0.630 1.000 71.005 130 9.0
1 0.26 239078000 0.680 1.000 71.416 140 9.0
1.04 0.26 239078000 0.690 1.000 71.827 140 6.0
1.08 0.28 236514000 0.570 1.000 72.238 130 9.0
1.12 0.26 239078000 0.350 1.000 72.649 140 9.0
1.16 0.26 239078000 0.140 9.000 73.060 130 10.0
1.2 0.27 237796000 -0.120 9.000 73.470 130 9.0
1.24 0.27 237796000 -0.170 9.000 73.881 140 9.0
1.28 0.26 239078000 -0.010 9.000 74.292 140 10.0
1.32 0.25 240360000 0.050 9.000 74.703 140 8.0
1.36 0.27 237796000 0.060 9.000 75.114 150 7.0
1.4 0.26 239078000 0.260 9.000 75.525 150 10.0
1.44 0.27 237796000 0.530 1.000 75.035 150 9.0
1.48 0.27 237796000 0.760 1.000 74.545 160 8.0
1.52 0.25 240360000 0.850 1.000 74.054 160 9.0
1.56 0.25 240360000 0.670 1.000 73.564 150 9.0
1.6 0.25 240360000 0.460 1.000 73.074 160 10.0
1.64 0.27 237796000 0.330 1.000 72.584 160 9.0
1.68 0.25 240360000 0.100 9.000 72.094 160 9.0
1.72 0.25 240360000 0.010 9.000 71.604 170 9.0
1.76 0.24 241642000 0.050 9.000 71.114 180 8.0
1.8 0.23 242924000 0.100 9.000 70.623 170 8.0
1.84 0.23 242924000 0.100 9.000 70.133 180 8.0
1.88 0.22 244206000 0.270 9.000 69.643 180 8.0
1.92 0.24 241642000 0.460 1.000 69.153 180 7.0
1.96 0.24 241642000 0.730 1.000 68.663 180 7.0
2 0.24 241642000 0.880 1.000 68.173 180 7.0
2.04 0.24 241642000 0.740 1.000 67.682 170 8.0
2.08 0.23 242924000 0.650 1.000 67.192 170 8.0
2.12 0.24 241642000 0.420 1.000 66.702 170 8.0
2.16 0.24 241642000 0.250 9.000 66.212 160 7.0
2.2 0.24 241642000 0.040 9.000 65.722 180 8.0
2.24 0.24 241642000 0.060 9.000 65.231 170 6.0
2.28 0.23 242924000 0.190 9.000 64.741 170 6.0
2.32 0.23 242924000 0.220 9.000 64.251 180 7.0
2.36 0.22 244206000 0.250 9.000 63.761 170 6.0
2.4 0.23 242924000 0.420 1.000 64.214 170 7.0
2.44 0.23 242924000 0.710 1.000 64.666 170 7.0
2.48 0.23 242924000 1.000 1.000 65.118 170 6.0
2.52 0.23 242924000 0.930 1.000 65.571 170 5.0
2.56 0.23 242924000 0.770 1.000 66.023 170 6.0
2.6 0.24 241642000 0.660 1.000 66.476 170 5.0
2.64 0.24 241642000 0.410 1.000 66.928 180 6.0
2.68 0.23 242924000 0.140 9.000 67.381 180 6.0
2.72 0.23 242924000 0.030 9.000 67.834 180 5.0
2.76 0.23 242924000 0.220 9.000 68.286 170 5.0
2.8 0.23 242924000 0.280 9.000 68.739 170 5.0
2.84 0.23 242924000 0.340 9.000 69.191 170 5.0
2.88 0.23 242924000 0.610 1.000 69.644 180 6.0
2.92 0.23 242924000 0.780 1.000 70.096 170 6.0
2.96 0.23 242924000 1.100 0.000 70.549 170 7.0
3 0.24 241642000 1.150 0.000 71.001 170 7.0
3.04 0.24 241642000 1.050 0.000 71.453 150 6.0
3.08 0.25 240360000 0.950 0.000 71.906 170 9.0
3.12 0.26 239078000 0.870 0.000 72.358 160 10.0
3.16 0.25 240360000 0.560 0.000 72.811 160 10.0
3.2 0.26 239078000 0.320 8.000 73.263 160 12.0
3.24 0.29 235232000 0.480 0.000 73.716 170 12.0
3.28 0.29 235232000 0.610 0.000 74.169 180 11.0
3.32 0.28 236514000 0.470 0.000 74.621 200 9.0
3.36 0.28 236514000 0.500 0.000 75.207 210 10.0
3.4 0.24 241642000 0.570 0.000 75.793 220 10.0
3.44 0.24 241642000 0.880 0.000 76.379 220 11.0
3.48 0.23 242924000 1.080 0.000 76.965 230 12.0
3.52 0.23 242924000 1.100 0.000 77.550 240 12.0
3.56 0.22 244206000 0.990 0.000 78.136 230 13.0
3.6 0.22 244206000 0.860 0.000 78.722 240 16.0
3.64 0.20 246770000 0.800 0.000 79.308 240 16.0
3.68 0.17 250482500 0.700 0.000 79.894 230 14.0
3.72 0.18 249245000 0.690 0.000 80.480 240 15.0
3.76 0.21 245488000 0.750 0.000 81.066 240 15.0
3.8 0.18 249245000 0.850 0.000 81.651 240 15.0
3.84 0.16 251720000 0.900 0.000 82.237 250 14.0
3.88 0.15 252957500 1.000 0.000 82.823 240 13.0
3.92 0.18 249245000 1.190 0.000 83.409 240 12.0
3.96 0.22 244206000 1.370 0.000 83.995 250 12.0
4 0.21 245488000 1.330 0.000 84.581 240 10.0
4.04 0.22 244206000 1.180 0.000 85.167 240 9.0
4.08 0.23 242924000 1.000 0.000 85.753 240 9.0
4.12 0.25 240360000 0.800 0.000 86.339 240 9.0
4.16 0.26 239078000 0.450 0.000 86.924 240 9.0
4.2 0.24 241642000 0.290 8.000 87.510 230 8.0
4.24 0.24 241642000 0.290 8.000 88.096 230 7.0
4.28 0.26 239078000 0.380 8.000 88.682 210 7.0
4.32 0.26 239078000 0.410 0.000 88.149 200 5.0
4.36 0.26 239078000 0.530 0.000 87.616 190 4.0
4.4 0.28 236514000 0.700 0.000 87.084 160 5.0
4.44 0.27 237796000 0.990 0.000 86.551 140 5.0
4.48 0.28 236514000 1.190 0.000 86.018 150 5.0
4.52 0.28 236514000 1.120 0.000 85.485 210 8.0
4.56 0.29 235232000 1.010 0.000 84.952 200 6.0
4.6 0.28 236514000 0.840 0.000 84.420 210 8.0
4.64 0.29 235232000 0.590 0.000 83.887 210 9.0
4.68 0.26 239078000 0.460 0.000 83.354 220 9.0
4.72 0.28 236514000 0.530 0.000 82.821 220 9.0
4.76 0.28 236514000 0.730 0.000 82.288 220 9.0
4.8 0.26 239078000 0.660 0.000 81.756 220 10.0
4.84 0.28 236514000 0.700 0.000 81.223 220 9.0
4.88 0.28 236514000 0.800 0.000 80.690 210 10.0
4.92 0.28 236514000 0.990 0.000 80.157 210 10.0
4.96 0.29 235232000 1.080 0.000 79.625 200 8.0
5 0.29 235232000 1.060 0.000 79.092 210 10.0
5.04 0.29 235232000 0.960 0.000 78.559 210 10.0
5.08 0.30 233950000 0.780 0.000 78.026 210 10.0
5.12 0.30 233950000 0.630 0.000 77.493 220 9.0
5.16 0.29 235232000 0.330 0.000 76.961 220 10.0
5.2 0.30 233950000 0.210 0.000 76.428 220 9.0
5.24 0.29 235232000 0.340 0.000 75.895 230 10.0
5.28 0.30 233950000 0.360 0.000 75.907 240 11.0
5.32 0.29 235232000 0.370 0.000 75.919 250 11.0
5.36 0.29 235232000 0.520 0.000 75.931 250 9.0
5.4 0.26 239078000 0.730 0.000 75.943 230 8.0
5.44 0.29 235232000 0.920 0.000 75.956 240 8.0
5.48 0.30 233950000 0.850 0.000 75.968 230 7.0
5.52 0.30 233950000 0.720 0.000 75.980 220 7.0
5.56 0.31 233127000 0.670 0.000 75.992 230 8.0
5.6 0.30 233950000 0.530 0.000 76.004 250 7.0
5.64 0.30 233950000 0.340 0.000 76.016 250 7.0
5.68 0.30 233950000 0.150 9.000 76.028 240 7.0
5.72 0.30 233950000 0.230 9.000 76.040 240 7.0
5.76 0.30 233950000 0.390 1.000 76.053 260 9.0
5.8 0.30 233950000 0.370 1.000 76.065 300 6.0
5.84 0.30 233950000 0.480 1.000 76.077 290 7.0
5.88 0.30 233950000 0.610 1.000 76.089 300 7.0
5.92 0.31 233127000 0.860 1.000 76.101 300 7.0
5.96 0.32 232304000 0.920 1.000 76.113 300 6.0
6 0.30 233950000 0.890 1.000 76.125 300 5.0
6.04 0.32 232304000 0.750 1.000 76.137 290 6.0
6.08 0.31 233127000 0.640 1.000 76.150 280 5.0
6.12 0.30 233950000 0.410 1.000 76.162 270 5.0
6.16 0.32 232304000 0.220 1.000 76.174 290 6.0
6.2 0.33 231481000 0.230 1.000 76.186 280 6.0
6.24 0.33 231481000 0.310 1.000 76.040 270 4.0
6.28 0.31 233127000 0.280 1.000 75.894 300 5.0
6.32 0.33 231481000 0.350 1.000 75.749 290 4.0
6.36 0.34 230658000 0.390 1.000 75.603 270 4.0
6.4 0.34 230658000 0.560 1.000 75.457 260 5.0
6.44 0.34 230658000 0.720 1.000 75.311 250 4.0
6.48 0.34 230658000 0.720 1.000 75.165 210 4.0
6.52 0.33 231481000 0.640 1.000 75.020 290 7.0
6.56 0.33 231481000 0.510 1.000 74.874 260 2.0
6.6 0.34 230658000 0.270 1.000 74.728 180 3.0
6.64 0.32 232304000 0.010 9.000 74.582 160 3.0
6.68 0.32 232304000 -0.080 9.000 74.437 160 3.0
6.72 0.33 231481000 0.070 9.000 74.291 110 4.0
6.76 0.34 230658000 0.160 9.000 74.145 110 5.0
6.8 0.34 230658000 0.140 9.000 73.999 80 7.0
6.84 0.34 230658000 0.290 1.000 73.853 100 6.0
6.88 0.34 230658000 0.490 1.000 73.708 110 8.0
6.92 0.35 229835000 0.720 1.000 73.562 70 7.0
6.96 0.35 229835000 0.760 1.000 73.416 80 8.0
7 0.36 229012000 0.670 1.000 73.270 70 8.0
7.04 0.34 230658000 0.540 1.000 73.124 70 9.0
7.08 0.35 229835000 0.350 1.000 72.979 60 10.0
7.12 0.36 229012000 0.080 1.000 72.833 60 9.0
7.16 0.37 228189000 -0.060 1.000 72.687 50 8.0
7.2 0.36 229012000 -0.030 1.000 72.498 50 9.0
7.24 0.35 229835000 -0.010 1.000 72.310 60 10.0
7.28 0.37 228189000 -0.030 1.000 72.121 40 9.0
7.32 0.37 228189000 0.030 1.000 71.933 40 8.0
7.36 0.35 229835000 0.120 1.000 71.744 30 8.0
7.4 0.35 229835000 0.310 9.000 71.556 30 8.0
7.44 0.33 231481000 0.460 1.000 71.368 20 7.0
7.48 0.34 230658000 0.420 1.000 71.179 20 7.0
7.52 0.33 231481000 0.320 1.000 70.991 20 6.0
7.56 0.33 231481000 0.180 9.000 70.802 20 6.0
7.6 0.33 231481000 -0.010 9.000 70.614 20 8.0
7.64 0.33 231481000 -0.150 9.000 70.425 20 8.0
7.68 0.31 233127000 -0.120 9.000 70.237 10 6.0
7.72 0.31 233127000 0.020 9.000 70.048 20 7.0
7.76 0.31 233127000 0.060 9.000 69.859 20 6.0
7.8 0.31 233127000 0.110 9.000 69.671 20 6.0
7.84 0.32 232304000 0.280 9.000 69.482 10 4.0
7.88 0.32 232304000 0.460 1.000 69.294 20 4.0
7.92 0.31 233127000 0.650 1.000 69.105 20 3.0
7.96 0.32 232304000 0.670 1.000 68.917 360 3.0
8 0.32 232304000 0.570 1.000 68.729 350 3.0
8.04 0.32 232304000 0.440 1.000 68.540 20 5.0
8.08 0.31 233127000 0.220 1.000 68.352 50 5.0
8.12 0.33 231481000 0.000 1.000 68.163 60 5.0
8.16 0.33 231481000 -0.130 1.000 67.902 50 3.0
8.2 0.33 231481000 -0.120 1.000 67.641 50 3.0
8.24 0.33 231481000 -0.060 1.000 67.380 350 1.0
8.28 0.33 231481000 -0.050 1.000 67.118 310 2.0
8.32 0.31 233127000 -0.010 1.000 66.857 340 2.0
8.36 0.32 232304000 0.090 9.000 66.596 340 1.0
8.4 0.31 233127000 0.250 9.000 66.335 320 1.0
8.44 0.31 233127000 0.370 9.000 66.074 360 3.0
8.48 0.31 233127000 0.370 9.000 65.813 20 3.0
8.52 0.31 233127000 0.240 9.000 65.551 30 4.0
8.56 0.31 233127000 0.070 9.000 65.290 60 4.0
8.6 0.32 232304000 -0.090 9.000 65.029 60 4.0
8.64 0.31 233127000 -0.250 9.000 64.768 80 3.0
8.68 0.30 233950000 -0.260 9.000 64.507 110 2.0
8.72 0.30 233950000 -0.140 9.000 64.245 110 3.0
8.76 0.30 233950000 -0.070 9.000 63.984 120 5.0
8.8 0.29 235232000 -0.010 9.000 63.723 120 6.0
8.84 0.29 235232000 0.120 9.000 63.462 110 4.0
8.88 0.30 233950000 0.250 9.000 63.201 110 4.0
8.92 0.30 233950000 0.360 1.000 62.940 90 5.0
8.96 0.29 235232000 0.420 1.000 62.679 90 3.0
9 0.29 235232000 0.360 1.000 62.417 90 3.0
9.04 0.29 235232000 0.230 1.000 62.156 100 3.0
9.08 0.29 235232000 0.030 1.000 61.895 90 5.0
9.12 0.28 236514000 -0.170 1.000 61.714 90 5.0
9.16 0.28 236514000 -0.260 1.000 61.533 100 5.0
9.2 0.28 236514000 -0.220 1.000 61.353 100 6.0
9.24 0.28 236514000 -0.190 1.000 61.172 100 7.0
9.28 0.26 239078000 -0.160 9.000 60.991 110 7.0
9.32 0.27 237796000 -0.080 9.000 60.810 100 5.0
9.36 0.25 240360000 0.050 9.000 60.629 110 9.0
9.4 0.25 240360000 0.190 9.000 60.448 80 7.0
9.44 0.27 237796000 0.270 9.000 60.268 80 7.0
9.48 0.26 239078000 0.270 9.000 60.087 70 5.0
9.52 0.26 239078000 0.180 9.000 59.906 60 6.0
9.56 0.24 241642000 0.040 9.000 59.725 60 6.0
9.6 0.24 241642000 -0.110 9.000 59.544 50 6.0
9.64 0.24 241642000 -0.240 9.000 59.363 60 8.0
9.68 0.23 242924000 -0.240 9.000 59.182 80 7.0
9.72 0.24 241642000 -0.150 9.000 59.002 50 6.0
9.76 0.23 242924000 -0.140 9.000 58.821 60 7.0
9.8 0.22 244206000 0.010 9.000 58.640 50 6.0
9.84 0.22 244206000 0.120 9.000 58.459 50 7.0
9.88 0.21 245488000 0.250 9.000 58.278 50 7.0
9.92 0.23 242924000 0.340 9.000 58.097 30 6.0
9.96 0.22 244206000 0.330 9.000 57.917 30 7.0
10 0.23 242924000 0.300 9.000 57.736 30 8.0
10.04 0.21 245488000 0.160 9.000 57.555 40 9.0
10.08 0.23 242924000 -0.030 1.000 57.430 30 8.0
10.12 0.24 241642000 -0.220 1.000 57.306 20 7.0
10.16 0.23 242924000 -0.380 1.000 57.181 20 7.0
10.2 0.23 242924000 -0.400 1.000 57.057 20 8.0
10.24 0.21 245488000 -0.360 1.000 56.932 20 8.0
10.28 0.22 244206000 -0.330 9.000 56.808 20 8.0
10.32 0.20 246770000 -0.210 9.000 56.683 20 8.0
10.36 0.22 244206000 -0.110 9.000 56.559 20 8.0
10.4 0.20 246770000 -0.030 9.000 56.434 10 7.0
10.44 0.20 246770000 0.030 9.000 56.310 20 8.0
10.48 0.19 248007500 0.020 9.000 56.185 20 9.0
10.52 0.20 246770000 -0.080 9.000 56.061 20 9.0
10.56 0.19 248007500 -0.120 9.000 55.936 20 8.0
10.6 0.18 249245000 -0.290 9.000 55.811 20 6.0
10.64 0.17 250482500 -0.400 9.000 55.687 40 7.0
10.68 0.17 250482500 -0.370 9.000 55.562 30 6.0
10.72 0.16 251720000 -0.300 9.000 55.438 40 7.0
10.76 0.16 251720000 -0.260 9.000 55.313 40 6.0
10.8 0.16 251720000 -0.140 9.000 55.189 50 6.0
10.84 0.15 252957500 -0.040 1.000 55.064 50 5.0
10.88 0.17 250482500 0.130 1.000 54.940 50 5.0
10.92 0.16 251720000 0.220 1.000 54.815 50 5.0
10.96 0.17 250482500 0.290 1.000 54.691 70 5.0
11 0.16 251720000 0.270 1.000 54.566 80 4.0
11.04 0.17 250482500 0.180 1.000 55.066 90 4.0
11.08 0.17 250482500 0.020 1.000 55.567 90 4.0
11.12 0.17 250482500 -0.180 1.000 56.067 90 5.0
11.16 0.17 250482500 -0.290 1.000 56.567 100 6.0
11.2 0.16 251720000 -0.250 1.000 57.068 100 7.0
11.24 0.16 251720000 -0.220 9.000 57.568 100 8.0
11.28 0.16 251720000 -0.140 9.000 58.068 90 9.0
11.32 0.17 250482500 -0.040 9.000 58.569 100 8.0
11.36 0.18 249245000 0.090 9.000 59.069 90 9.0
11.4 0.18 249245000 0.280 9.000 59.569 100 9.0
11.44 0.19 248007500 0.440 9.000 60.070 100 10.0
11.48 0.19 248007500 0.410 9.000 60.570 100 10.0
11.52 0.20 246770000 0.340 9.000 61.070 100 9.0
11.56 0.19 248007500 0.190 1.000 61.571 100 8.0
11.6 0.19 248007500 0.110 1.000 62.071 90 8.0
11.64 0.18 249245000 0.010 1.000 62.571 80 8.0
11.68 0.20 246770000 -0.030 1.000 63.072 80 9.0
11.72 0.20 246770000 -0.060 1.000 63.572 90 8.0
11.76 0.20 246770000 -0.030 1.000 64.072 90 7.0
11.8 0.18 249245000 0.020 1.000 64.573 80 5.0
11.84 0.19 248007500 0.190 1.000 65.073 80 6.0
11.88 0.18 249245000 0.370 1.000 65.573 100 7.0
11.92 0.18 249245000 0.550 1.000 66.074 100 7.0
11.96 0.18 249245000 0.560 1.000 66.574 100 7.0
12 0.19 248007500 0.540 1.000 66.653 110 6.0
12.04 0.19 248007500 0.530 1.000 66.731 110 6.0
12.08 0.18 249245000 0.430 1.000 66.810 110 6.0
12.12 0.18 249245000 0.380 1.000 66.889 120 7.0
12.16 0.19 248007500 0.260 1.000 66.967 120 8.0
12.2 0.18 249245000 0.260 1.000 67.046 130 7.0
12.24 0.20 246770000 0.270 1.000 67.125 130 7.0
12.28 0.18 249245000 0.350 1.000 67.203 150 6.0
12.32 0.19 248007500 0.420 1.000 67.282 150 8.0
12.36 0.20 246770000 0.550 1.000 67.361 140 11.0
12.4 0.20 246770000 0.700 1.000 67.439 130 9.0
12.44 0.20 246770000 0.770 1.000 67.518 130 9.0
12.48 0.22 244206000 0.680 1.000 67.597 120 12.0
12.52 0.21 245488000 0.540 1.000 67.675 120 13.0
12.56 0.24 241642000 0.430 1.000 67.754 140 12.0
12.6 0.24 241642000 0.320 1.000 67.833 140 8.0
12.64 0.23 242924000 0.280 1.000 67.911 170 6.0
12.68 0.23 242924000 0.320 1.000 67.990 220 8.0
12.72 0.20 246770000 0.360 1.000 68.069 240 11.0
12.76 0.16 251720000 0.400 1.000 68.147 250 10.0
12.8 0.17 250482500 0.670 1.000 68.226 260 16.0
12.84 0.17 250482500 0.840 1.000 68.305 250 14.0
12.88 0.09 260382500 1.090 0.000 68.383 260 16.0
12.92 0.10 259145000 1.300 0.000 68.462 260 16.0
12.96 0.13 255432500 1.360 0.000 69.423 270 16.0
13 0.11 257907500 1.270 0.000 70.383 270 18.0
13.04 0.08 261620000 1.220 0.000 71.344 270 14.0
13.08 0.09 260382500 1.120 0.000 72.304 270 14.0
13.12 0.08 261620000 0.950 0.000 73.265 270 10.0
13.16 0.10 259145000 0.900 0.000 74.226 270 11.0
13.2 0.17 250482500 0.980 0.000 75.186 260 11.0
13.24 0.16 251720000 0.990 0.000 76.147 240 8.0
13.28 0.19 248007500 1.050 0.000 77.108 220 8.0
13.32 0.20 246770000 1.260 0.000 78.068 210 10.0
13.36 0.20 246770000 1.700 0.000 79.029 190 7.0
13.4 0.21 245488000 1.660 0.000 79.990 190 7.0
13.44 0.24 241642000 1.720 0.000 80.950 260 13.0
13.48 0.19 248007500 1.670 0.000 81.911 260 12.0
13.52 0.16 251720000 1.410 0.000 82.871 270 12.0
13.56 0.19 248007500 1.310 0.000 83.832 270 14.0
13.6 0.19 248007500 1.170 0.000 84.793 270 12.0
13.64 0.16 251720000 1.100 0.000 85.753 280 10.0
13.68 0.17 250482500 0.890 0.000 86.714 260 9.0
13.72 0.17 250482500 0.850 0.000 87.674 260 9.0
13.76 0.22 244206000 0.930 0.000 88.635 240 8.0
13.8 0.23 242924000 0.850 0.000 89.596 220 6.0
13.84 0.22 244206000 0.990 0.000 90.556 210 6.0
13.88 0.23 242924000 1.100 0.000 91.517 190 6.0
13.92 0.24 241642000 1.150 0.000 91.432 180 8.0
13.96 0.25 240360000 1.170 0.000 91.348 200 9.0
14 0.25 240360000 1.000 0.000 91.263 200 9.0
14.04 0.24 241642000 0.940 0.000 91.178 180 9.0
14.08 0.24 241642000 0.740 0.000 91.093 190 10.0
14.12 0.25 240360000 0.690 0.000 91.008 190 11.0
14.16 0.27 237796000 0.670 0.000 90.924 190 12.0
14.2 0.29 235232000 0.810 0.000 90.839 190 11.0
14.24 0.26 239078000 0.970 0.000 90.754 190 11.0
14.28 0.27 237796000 0.910 0.000 90.670 190 11.0
14.32 0.26 239078000 0.990 0.000 90.585 200 12.0
14.36 0.27 237796000 1.230 0.000 90.500 200 12.0
14.4 0.25 240360000 1.500 0.000 90.415 200 11.0
14.44 0.26 239078000 1.600 0.000 90.330 190 12.0
14.48 0.27 237796000 1.410 0.000 90.246 200 11.0
14.52 0.26 239078000 1.250 0.000 90.161 190 11.0
14.56 0.27 237796000 1.040 0.000 90.076 190 11.0
14.6 0.27 237796000 0.860 0.000 89.992 190 11.0
14.64 0.28 236514000 0.880 0.000 89.907 190 11.0
14.68 0.29 235232000 0.930 0.000 89.822 180 13.0
14.72 0.30 233950000 1.060 0.000 89.737 200 13.0
14.76 0.29 235232000 1.020 0.000 89.652 230 9.0
14.8 0.32 232304000 1.060 0.000 89.568 260 9.0
14.84 0.29 235232000 1.190 0.000 89.483 240 8.0
14.88 0.23 242924000 1.240 0.000 89.936 250 9.0
14.92 0.24 241642000 1.270 0.000 90.389 240 9.0
14.96 0.26 239078000 1.310 0.000 90.841 220 8.0
15 0.27 237796000 1.170 0.000 91.294 230 9.0
15.04 0.27 237796000 1.100 0.000 91.747 220 9.0
15.08 0.31 233127000 0.980 0.000 92.200 230 9.0
15.12 0.28 236514000 0.880 0.000 92.653 230 8.0
15.16 0.26 239078000 1.040 0.000 93.105 220 8.0
15.2 0.28 236514000 1.100 0.000 93.558 200 6.0
15.24 0.29 235232000 1.040 0.000 94.011 190 7.0
15.28 0.30 233950000 1.100 0.000 94.464 180 8.0
15.32 0.30 233950000 1.200 0.000 94.916 180 8.0
15.36 0.30 233950000 1.380 0.000 95.369 180 8.0
15.4 0.31 233127000 1.520 0.000 95.822 190 9.0
15.44 0.30 233950000 1.300 0.000 96.275 170 8.0
15.48 0.31 233127000 1.120 0.000 96.728 180 9.0
15.52 0.31 233127000 0.950 0.000 97.180 180 10.0
15.56 0.32 232304000 0.780 0.000 97.633 180 9.0
15.6 0.33 231481000 0.550 0.000 98.086 170 9.0
15.64 0.33 231481000 0.440 0.000 98.539 180 9.0
15.68 0.32 232304000 0.520 0.000 98.992 190 9.0
15.72 0.32 232304000 0.560 0.000 99.444 190 7.0
15.76 0.33 231481000 0.560 0.000 99.897 190 9.0
15.8 0.33 231481000 0.650 0.000 100.350 190 7.0
15.84 0.30 233950000 0.770 0.000 100.102 170 9.0
15.88 0.33 231481000 1.000 0.000 99.854 190 9.0
15.92 0.33 231481000 0.980 0.000 99.606 180 8.0
15.96 0.34 230658000 0.900 0.000 99.358 190 9.0
16 0.33 231481000 0.740 0.000 99.110 180 9.0
16.04 0.33 231481000 0.600 0.000 98.862 190 8.0
16.08 0.33 231481000 0.440 0.000 98.614 190 9.0
16.12 0.34 230658000 0.270 0.000 98.366 210 9.0
16.16 0.33 231481000 0.400 0.000 98.118 210 8.0
16.2 0.34 230658000 0.540 0.000 97.870 210 8.0
16.24 0.32 232304000 0.560 0.000 97.622 200 7.0
16.28 0.33 231481000 0.660 0.000 97.373 200 7.0
16.32 0.34 230658000 0.900 0.000 97.125 190 7.0
16.36 0.34 230658000 1.040 0.000 96.877 210 10.0
16.4 0.34 230658000 1.090 0.000 96.629 210 9.0
16.44 0.34 230658000 1.040 0.000 96.381 210 9.0
16.48 0.31 233127000 0.890 0.000 96.133 220 8.0
16.52 0.33 231481000 0.790 0.000 95.885 220 8.0
16.56 0.33 231481000 0.540 0.000 95.637 210 8.0
16.6 0.34 230658000 0.300 0.000 95.389 200 7.0
16.64 0.33 231481000 0.250 8.000 95.141 200 7.0
16.68 0.32 232304000 0.340 8.000 94.893 200 6.0
16.72 0.32 232304000 0.370 8.000 94.645 190 6.0
16.76 0.34 230658000 0.410 8.000 94.397 190 8.0
16.8 0.35 229835000 0.560 0.000 95.013 190 9.0
16.84 0.35 229835000 0.760 0.000 95.628 180 8.0
16.88 0.35 229835000 0.940 0.000 96.244 170 7.0
16.92 0.35 229835000 0.890 0.000 96.859 170 8.0
16.96 0.36 229012000 0.760 0.000 97.475 180 9.0
17 0.36 229012000 0.600 0.000 98.090 180 9.0
17.04 0.36 229012000 0.490 0.000 98.706 180 9.0
17.08 0.36 229012000 0.320 8.000 99.322 170 11.0
17.12 0.36 229012000 0.220 8.000 99.937 170 10.0
17.16 0.36 229012000 0.400 8.000 100.553 180 10.0
17.2 0.37 228189000 0.440 0.000 101.168 180 10.0
17.24 0.37 228189000 0.530 0.000 101.784 180 10.0
17.28 0.37 228189000 0.730 0.000 102.400 180 11.0
17.32 0.37 228189000 0.910 0.000 103.015 190 13.0
17.36 0.37 228189000 1.130 0.000 103.631 190 11.0
17.4 0.37 228189000 1.110 0.000 104.246 200 11.0
17.44 0.37 228189000 0.890 0.000 104.862 190 12.0
17.48 0.38 227366000 0.820 0.000 105.478 190 9.0
17.52 0.36 229012000 0.630 0.000 106.093 190 10.0
17.56 0.35 229835000 0.320 0.000 106.709 180 10.0
17.6 0.36 229012000 0.240 8.000 107.324 190 10.0
17.64 0.37 228189000 0.270 8.000 107.940 180 13.0
17.68 0.36 229012000 0.200 8.000 108.555 190 10.0
17.72 0.37 228189000 0.240 8.000 109.171 190 11.0
17.76 0.38 227366000 0.490 8.000 108.384 190 12.0
17.8 0.37 228189000 0.560 0.000 107.598 180 12.0
17.84 0.35 229835000 0.800 0.000 106.812 190 13.0
17.88 0.37 228189000 0.880 0.000 106.025 190 11.0
17.92 0.37 228189000 0.910 0.000 105.239 190 12.0
17.96 0.38 227366000 0.790 0.000 104.452 190 12.0
18 0.38 227366000 0.750 0.000 103.665 190 12.0
18.04 0.37 228189000 0.560 0.000 102.879 190 11.0
18.08 0.36 229012000 0.510 0.000 102.092 200 12.0
18.12 0.36 229012000 0.580 0.000 101.306 210 11.0
18.16 0.36 229012000 0.700 0.000 100.520 200 10.0
18.2 0.35 229835000 0.710 0.000 99.733 200 10.0
18.24 0.36 229012000 0.740 0.000 98.947 210 8.0
18.28 0.36 229012000 0.900 0.000 98.160 200 8.0
18.32 0.36 229012000 1.090 0.000 97.373 200 9.0
18.36 0.37 228189000 1.150 0.000 96.587 200 8.0
18.4 0.39 226543000 1.100 0.000 95.800 210 8.0
18.44 0.38 227366000 1.020 0.000 95.014 200 8.0
18.48 0.39 226543000 0.860 0.000 94.228 190 9.0
18.52 0.39 226543000 0.660 0.000 93.441 200 10.0
