d temp PURe PURc ice NO3 PO4 chla P
390 2.25 243.9 164.9 0 10.36 1.13 4.04 363.6
391 2.22 241.2 162.7 0 10.52 1.12 4.04 363.6
392 2.2 238.6 160.4 0 10.52 1.12 3.76 338.4
393 2.18 236.4 158.1 0 10.58 1.13 2.97 267.3
394 2.16 231.2 155.6 0 10.58 1.13 2.25 202.5
395 2.13 225.9 151.5 0 11.47 1.18 1.96 176.4
396 2.11 220 147.3 0 10.87 1.16 1.96 176.4
397 2.08 214.8 143 0 10.87 1.16 1.96 176.4
398 2.05 209.6 139.1 0 10.87 1.16 1.96 176.4
399 2.01 206.1 135.5 0 10.87 1.16 1.96 176.4
400 1.95 201.9 132.7 0 11.1 1.18 1.75 157.5
401 1.88 197.7 129.5 0 11.29 1.18 1.75 157.5
402 1.8 193.5 126.2 0 11.44 1.21 1.75 157.5
403 1.71 189.2 123 0 11.44 1.21 1.75 157.5
404 1.61 186.7 120.2 0 11.44 1.21 1.75 157.5
405 1.51 184.1 118 0 12.33 1.25 1.59 143.1
406 1.43 181.4 115.9 0 12.02 1.24 1.21 108.9
407 1.35 178.7 113.7 0 13.5 1.33 1.03 92.7
408 1.27 175.9 111.4 0 13.5 1.33 1.03 92.7
409 1.18 171.8 108.8 0 13.5 1.33 1.03 92.7
410 1.1 167.7 105.8 0 14.5 1.38 0.97 87.3
411 1.02 163.6 103 0 15.75 1.45 0.88 79.2
412 0.94 159.4 100.2 0 15.75 1.45 0.88 79.2
413 0.84 155.3 97.28 0 15.75 1.45 0.88 79.2
414 0.74 150.5 94.38 0 15.75 1.45 0.88 79.2
415 0.66 145.9 91.33 0 16.5 1.5 0.82 73.8
416 0.58 141.1 88.27 0.01 17.25 1.55 0.75 67.5
417 0.5 136.5 85.3 0.01 17.25 1.55 0.75 67.5
418 0.41 131.9 82.48 0.01 17.25 1.55 0.75 67.5
419 0.31 127.6 79.65 0.01 17.25 1.55 0.75 67.5
420 0.2 123.4 77.06 0.02 18.17 1.6 0.7 63
421 0.08 119.1 74.39 0.02 19 1.65 0.65 58.5
422 -0.05 114.9 71.79 0.03 19 1.65 0.65 58.5
423 -0.19 110.8 69.28 0.03 19 1.65 0.65 58.5
424 -0.33 107 66.99 0.05 19 1.65 0.65 58.5
425 -0.48 103.3 64.85 0.07 20 1.7 0.6 54
426 -0.63 99.57 62.72 0.09 21 1.75 0.55 49.5
427 -0.79 95.83 60.58 0.11 21 1.75 0.55 49.5
428 -0.94 92.09 58.52 0.13 21 1.75 0.55 49.5
429 -1.1 88.05 56.38 0.17 21 1.75 0.55 49.5
430 -1.26 84 54.17 0.2 21.83 1.78 0.5 45
431 -1.4 79.88 51.96 0.24 22.75 1.83 0.45 40.5
432 -1.53 75.84 49.75 0.27 22.75 1.83 0.45 40.5
433 -1.64 71.64 47.46 0.31 22.75 1.83 0.45 40.5
434 -1.72 67.9 45.32 0.35 22.75 1.83 0.45 40.5
435 -1.77 64.17 43.26 0.39 23.5 1.85 0.41 36.9
436 -1.83 60.43 41.28 0.44 24.25 1.88 0.36 32.4
437 -1.83 56.84 39.29 0.48 24.25 1.88 0.36 32.4
438 -1.81 53.86 37.46 0.52 24.25 1.88 0.36 32.4
439 -1.85 50.51 35.63 0.55 24.25 1.88 0.36 32.4
440 -1.85 47.3 33.8 0.57 24.67 1.9 0.33 29.7
441 -1.85 44.18 31.97 0.6 25.25 1.93 0.29 26.1
442 -1.85 41.12 30.29 0.62 25.25 1.93 0.29 26.1
443 -1.85 38.22 28.69 0.65 25.25 1.93 0.29 26.1
444 -1.85 35.86 27.31 0.67 25.25 1.93 0.29 26.1
445 -1.86 33.57 26.09 0.68 25.5 1.95 0.26 23.4
446 -1.86 31.28 24.87 0.7 25.75 1.98 0.23 20.7
447 -1.86 28.99 23.73 0.71 25.75 1.98 0.23 20.7
448 -1.86 26.7 22.58 0.73 25.75 1.98 0.23 20.7
449 -1.86 24.03 21.36 0.74 25.75 1.98 0.23 20.7
450 -1.86 21.44 20.07 0.75 26 1.99 0.2 18
451 -1.86 18.92 18.77 0.75 26.25 2.01 0.18 16.2
452 -1.86 16.4 17.47 0.76 26.25 2.01 0.18 16.2
453 -1.82 13.96 16.25 0.77 26.25 2.01 0.18 16.2
454 -1.82 11.83 15.26 0.77 26.25 2.01 0.18 16.2
455 -1.85 9.61 14.34 0.76 26.5 2.03 0.16 14.4
456 -1.86 7.32 13.5 0.76 26.75 2.04 0.13 11.7
457 -1.86 5.04 12.59 0.75 26.75 2.04 0.13 11.7
458 -1.86 2.82 11.75 0.75 26.75 2.04 0.13 11.7
459 -1.86 0.61 10.91 0.75 26.75 2.04 0.13 11.7
460 -1.86 0 10 0.75 26.83 2.04 0.12 10.8
461 -1.86 0 9.23 0.75 27 2.05 0.09 8.1
462 -1.79 0 8.47 0.75 27 2.05 0.09 8.1
463 -1.82 0 7.71 0.75 27 2.05 0.09 8.1
464 -1.82 0 7.02 0.75 27 2.05 0.08 7.2
465 -1.84 0 6.33 0.76 27 2.05 0.08 7.2
466 -1.86 0 5.65 0.76 27 2.05 0.07 6.3
467 -1.87 0 4.96 0.77 27 2.05 0.07 6.3
468 -1.87 0 4.35 0.77 27 2.05 0.06 5.4
469 -1.76 0 3.82 0.77 27.03 2.05 0.05 4.5
470 -1.78 0 3.28 0.78 27.03 2.05 0.05 4.5
471 -1.81 0 2.82 0.78 27.05 2.05 0.04 3.6
472 -1.82 0 2.37 0.79 27.05 2.05 0.04 3.6
473 -1.85 0 1.98 0.79 27.12 2.05 0.04 3.6
474 -1.84 0 1.6 0.79 27.13 2.05 0.04 3.6
475 -1.84 0 1.22 0.79 27.13 2.05 0.04 3.6
476 -1.79 0 0.84 0.78 27.18 2.06 0.04 3.6
477 -1.78 0 0.53 0.78 27.18 2.06 0.04 3.6
478 -1.75 0 0.31 0.78 27.18 2.06 0.04 3.6
479 -1.77 0 0.15 0.78 27.18 2.06 0.04 3.6
